2026-07-23 16:04:06 | INFO     | gnss_monitor.live | receiver 'neo6m_1' connected
2026-07-23 16:04:06 | INFO     | gnss_monitor.live | receiver 'vollgo_1' connected
2026-07-23 16:04:06 | INFO     | gnss_monitor.live | receiver 'neom10_1' connected
2026-07-23 16:04:06 | INFO     | gnss_monitor.live | receiver 'lc29h_1' connected
2026-07-23 16:04:06 | INFO     | gnss_monitor.live | receiver 'neom10_1' (NeoM10) status changed: NO_DATA -> OK (within expected radius)
2026-07-23 16:04:06 | INFO     | gnss_monitor.live | receiver 'lc29h_1' (LC29HEA) status changed: NO_DATA -> OK (within expected radius)
2026-07-23 16:04:06 | INFO     | gnss_monitor.live | receiver 'vollgo_1' (VOLLGO) status changed: NO_DATA -> OK (within expected radius)
2026-07-23 16:04:07 | INFO     | gnss_monitor.live | receiver 'neo6m_1' (NEO-6M) status changed: NO_DATA -> OK (within expected radius)
2026-07-23 17:04:16 | INFO     | gnss_monitor.live | receiver 'vollgo_1' (VOLLGO) status changed: OK -> FAILED (position 106.1 m from expected exceeds 100 m radius)
2026-07-23 17:05:39 | INFO     | gnss_monitor.live | receiver 'vollgo_1' (VOLLGO) status changed: FAILED -> OK (within expected radius)
2026-07-23 18:15:51 | INFO     | gnss_monitor.live | receiver 'vollgo_1' (VOLLGO) status changed: OK -> FAILED (position 101.2 m from expected exceeds 100 m radius)
2026-07-23 18:15:53 | INFO     | gnss_monitor.live | receiver 'vollgo_1' (VOLLGO) status changed: FAILED -> OK (within expected radius)
2026-07-23 18:23:12 | INFO     | gnss_monitor.live | receiver 'vollgo_1' (VOLLGO) status changed: OK -> FAILED (position 100.7 m from expected exceeds 100 m radius)
2026-07-23 21:09:25 | INFO     | gnss_monitor.live | receiver 'neo6m_1' (NEO-6M) status changed: OK -> FAILED (position 484239.0 m from expected exceeds 100 m radius)
2026-07-23 21:11:25 | INFO     | gnss_monitor.live | receiver 'neo6m_1' (NEO-6M) status changed: FAILED -> OK (within expected radius)
2026-07-23 21:20:56 | INFO     | gnss_monitor.live | receiver 'vollgo_1' (VOLLGO) status changed: FAILED -> OK (within expected radius)
2026-07-23 22:03:00 | INFO     | gnss_monitor.live | receiver 'vollgo_1' (VOLLGO) status changed: OK -> FAILED (position 102.6 m from expected exceeds 100 m radius)
2026-07-23 22:06:28 | INFO     | gnss_monitor.live | receiver 'vollgo_1' (VOLLGO) status changed: FAILED -> OK (within expected radius)
2026-07-23 23:05:35 | INFO     | gnss_monitor.live | receiver 'vollgo_1' (VOLLGO) status changed: OK -> FAILED (position 101.8 m from expected exceeds 100 m radius)
2026-07-23 23:06:59 | INFO     | gnss_monitor.live | receiver 'vollgo_1' (VOLLGO) status changed: FAILED -> OK (within expected radius)
2026-07-23 23:23:55 | INFO     | gnss_monitor.live | receiver 'vollgo_1' (VOLLGO) status changed: OK -> FAILED (position 102.2 m from expected exceeds 100 m radius)
2026-07-23 23:23:55 | INFO     | gnss_monitor.live | receiver 'vollgo_1' (VOLLGO) status changed: FAILED -> OK (within expected radius)
2026-07-23 23:24:09 | INFO     | gnss_monitor.live | receiver 'vollgo_1' (VOLLGO) status changed: OK -> FAILED (position 104.9 m from expected exceeds 100 m radius)
2026-07-23 23:24:11 | INFO     | gnss_monitor.live | receiver 'vollgo_1' (VOLLGO) status changed: FAILED -> OK (within expected radius)
2026-07-23 23:24:53 | INFO     | gnss_monitor.live | receiver 'vollgo_1' (VOLLGO) status changed: OK -> FAILED (position 128.6 m from expected exceeds 100 m radius)
2026-07-23 23:27:46 | INFO     | gnss_monitor.live | receiver 'vollgo_1' (VOLLGO) status changed: FAILED -> OK (within expected radius)
2026-07-23 23:28:08 | INFO     | gnss_monitor.live | receiver 'neo6m_1' (NEO-6M) status changed: OK -> FAILED (position 106.3 m from expected exceeds 100 m radius)
2026-07-23 23:28:56 | INFO     | gnss_monitor.live | receiver 'neo6m_1' (NEO-6M) status changed: FAILED -> OK (within expected radius)
